Trainer,Wins,Losses,Ties,Win/Loss Ratio
Shauntal,61,8,0,7.625
Misty,58,11,0,5.2727272727272725
Alder,55,14,0,3.9285714285714284
Janine,54,15,0,3.6
Morty,53,16,0,3.3125
Cynthia,51,18,0,2.8333333333333335
Red,50,19,0,2.6315789473684212
Norman,50,19,0,2.6315789473684212
Lance,50,19,0,2.6315789473684212
Wallace,48,21,0,2.2857142857142856
Skyla,46,23,0,2.0
Nishino,46,23,0,2.0
Clay,45,24,0,1.875
Grimsley,45,24,0,1.875
Giovanni,44,25,0,1.76
Blue,43,26,0,1.6538461538461537
Elesa,42,27,0,1.5555555555555556
N_Autumn,41,28,0,1.4642857142857142
Jasmine,41,28,0,1.4642857142857142
Benga,41,28,0,1.4642857142857142
Wattson,40,29,0,1.3793103448275863
Flannery,40,29,0,1.3793103448275863
Iris,40,29,0,1.3793103448275863
Roxie,39,30,0,1.3
Burgh,39,30,0,1.3
Marshal,39,30,0,1.3
Brawly,38,31,0,1.2258064516129032
N_Spring,37,32,0,1.15625
Cheren,35,34,0,1.0294117647058822
Falkner,35,34,0,1.0294117647058822
Pryce,35,34,0,1.0294117647058822
Bugsy,35,34,0,1.0294117647058822
Marlon,35,34,0,1.0294117647058822
Cress,35,34,0,1.0294117647058822
whitney,35,34,0,1.0294117647058822
Juan,34,35,0,0.9714285714285714
Rival_Fire,34,35,0,0.9714285714285714
Fantina,33,36,0,0.9166666666666666
Lt.Surge,33,36,0,0.9166666666666666
Sabrina,33,36,0,0.9166666666666666
Erika,32,37,0,0.8648648648648649
Gardenia,32,37,0,0.8648648648648649
Blaine,32,37,0,0.8648648648648649
Claire,31,38,0,0.8157894736842105
Rival_Grass,31,38,0,0.8157894736842105
Steven,30,39,0,0.7692307692307693
Drayden,30,39,0,0.7692307692307693
Chuck,30,39,0,0.7692307692307693
Candice,30,39,0,0.7692307692307693
Bianca,29,40,0,0.725
N_Winter,28,41,0,0.6829268292682927
Wake,27,42,0,0.6428571428571429
Lenora,26,43,0,0.6046511627906976
Maylene,26,43,0,0.6046511627906976
Brock,24,45,0,0.5333333333333333
Caitlin,24,45,0,0.5333333333333333
Rival_Water,23,46,0,0.5
Byron,23,46,0,0.5
Chili,22,47,0,0.46808510638297873
Brycen,21,48,0,0.4375
Tate,21,48,0,0.4375
Colress,20,49,0,0.40816326530612246
Roark,20,49,0,0.40816326530612246
Volkner,19,50,0,0.38
Winona,18,51,0,0.35294117647058826
Morimoto,17,52,0,0.3269230769230769
Roxanne,17,52,0,0.3269230769230769
Liza,16,53,0,0.3018867924528302
N_Summer,16,53,0,0.3018867924528302
Cilan,12,57,0,0.21052631578947367
