Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Alder,0,90,87,94,64,80,74,100,84,95,91,100,99,56,73,81,71,89,98,97,55,49,99,71,71,66,77,97,69,89,92,71,20,65,77,93,84,88,39,48,99,21,95,94,98,96,98,97,92,100,87,45,93,99,99,65,59,99,86,90,96,84,77,46,45,83,96,88,97,80,70,82,78
Benga,10,0,74,48,82,42,1,83,69,68,64,100,54,12,76,77,75,78,97,95,81,28,84,20,94,98,15,96,87,90,48,99,16,31,54,66,59,72,17,27,11,51,61,98,33,79,99,98,0,90,63,8,12,86,37,0,37,29,41,75,67,95,44,16,73,71,93,57,94,18,33,4,100
Bianca,13,26,0,38,49,16,93,14,40,32,76,86,8,59,56,66,54,76,23,57,60,34,94,42,10,58,4,41,72,59,41,37,61,46,39,69,65,28,36,55,64,22,62,91,43,9,14,36,11,76,6,33,39,48,13,24,58,28,40,85,92,51,65,0,4,81,96,17,49,20,33,66,65
Blaine,6,52,62,0,29,48,11,99,77,60,76,16,91,96,22,36,34,56,77,96,40,11,25,15,34,38,40,66,61,29,45,63,3,52,46,53,46,13,8,17,24,6,92,85,29,28,55,92,11,99,35,4,14,60,97,59,68,53,35,63,65,53,3,4,52,46,37,83,52,15,51,61,77
Blue,36,18,51,71,0,50,62,86,75,79,90,36,72,86,32,58,51,96,92,89,79,70,77,30,46,78,12,48,29,51,74,38,54,61,36,40,36,58,33,47,30,64,72,45,53,57,49,80,2,76,20,59,2,89,73,38,62,64,35,91,91,51,4,5,35,85,98,69,43,2,51,94,70
Brawly,20,58,84,52,50,0,91,94,22,94,100,95,29,100,93,92,90,92,88,50,42,16,72,39,10,76,21,53,48,1,69,42,34,68,77,87,81,50,9,40,83,34,96,86,78,27,17,94,8,94,2,83,56,93,26,42,82,83,49,98,97,52,45,13,40,88,100,38,94,30,37,100,43
Brock,26,99,7,89,38,9,0,54,77,58,91,65,95,0,32,56,25,97,6,27,50,27,89,0,12,72,46,20,58,80,98,5,33,48,30,36,29,21,7,10,3,25,19,75,78,14,0,58,2,93,30,41,10,56,89,0,19,26,10,62,35,25,64,31,22,54,96,99,2,1,45,14,91
Brycen,0,17,86,1,14,6,46,0,3,4,11,61,51,44,11,25,57,6,3,74,94,20,37,0,34,67,6,35,55,95,3,54,34,11,13,29,39,68,18,6,0,45,20,67,25,47,0,21,63,93,11,1,6,24,68,1,18,24,35,50,33,24,56,3,35,28,51,71,48,2,18,47,84
Bugsy,16,31,60,23,25,78,23,97,0,86,24,100,68,39,15,11,14,23,60,82,10,1,98,87,6,9,9,89,3,69,28,88,4,56,10,14,14,12,16,10,61,0,48,100,100,40,61,66,38,77,47,17,69,76,73,45,37,84,54,39,67,35,68,1,7,23,99,37,98,75,75,64,40
Burgh,5,32,68,40,21,6,42,96,14,0,44,100,68,70,23,48,41,23,28,95,26,9,84,75,23,23,7,96,13,71,21,86,9,46,16,43,51,30,8,6,82,7,79,98,74,54,9,61,40,82,52,32,77,81,70,40,68,68,87,77,81,45,98,4,16,62,99,93,100,83,31,80,32
Byron,9,36,24,24,10,0,9,89,76,56,0,13,74,40,45,56,63,49,2,57,10,0,75,1,9,12,18,20,73,36,20,5,1,8,5,18,6,20,8,2,8,1,36,19,51,38,1,2,2,79,12,3,15,36,59,9,32,74,26,27,65,37,5,0,39,26,18,73,2,0,54,26,34
Caitlin,0,0,14,84,64,5,35,39,0,0,87,0,2,55,17,35,12,24,100,56,72,6,88,23,3,0,2,55,34,0,3,0,14,1,11,16,13,19,21,84,48,0,64,8,28,15,86,79,10,18,0,3,33,0,20,65,48,59,33,80,87,1,0,0,5,66,6,10,96,7,35,94,87
Candice,1,46,92,9,28,71,5,49,32,32,26,98,0,19,47,70,67,37,85,85,100,23,97,58,68,83,22,43,59,89,18,85,26,24,37,45,56,57,18,55,3,72,38,92,55,30,99,99,1,86,9,11,19,92,66,7,58,27,56,41,41,61,54,1,37,68,74,89,77,5,36,23,80
Cheren,44,88,41,4,14,0,100,56,61,30,60,45,81,0,44,74,58,12,15,96,89,21,95,58,38,30,8,18,97,100,20,55,6,39,62,81,68,71,43,22,99,15,32,100,40,99,7,4,71,98,86,36,71,74,89,28,18,87,27,95,80,55,78,31,89,80,74,37,79,51,6,52,99
Cheren_Fire,27,24,44,78,68,7,68,89,85,77,55,83,53,56,0,56,55,88,22,81,17,6,80,37,16,35,10,69,85,14,71,49,16,26,59,77,49,37,9,2,49,10,68,82,16,32,8,4,3,94,9,18,15,94,57,5,38,65,60,65,68,18,17,0,54,67,82,36,22,8,17,73,75
Cheren_Grass,19,23,34,64,42,8,44,75,89,52,44,65,30,26,44,0,51,69,8,82,29,9,59,11,9,19,9,66,73,12,46,36,13,12,28,37,39,31,14,0,26,19,44,57,16,25,5,1,1,83,10,26,7,87,34,1,16,53,29,68,80,15,4,1,31,52,75,36,29,4,23,24,33
